Timestamp,demand,city,temperature,humidity,windSpeed,pressure,precipIntensity,hour,day_of_week,month,season,demand_zscore,temperature_zscore,demand_outlier,temperature_outlier,demand_outlier_iqr,temperature_outlier_iqr,demand_anomaly,temperature_anomaly,anomaly,demand_next_day,demand_lag24,temp_demand_interaction,Cluster,PCA1,PCA2,Cluster_Label
2019-05-17 17:00:00,0.0422862815322329,phoenix,0.5805951077035415,0.26,2.08,1011.3,0.0,17,4,5,2,-0.8927071649997529,0.2720394865376145,0,0,0,0,0,0,0,0.0439991435689816,0.0550548894425412,0.024551208180589038,2,0.1191516924767274,-1.0114268474062418,Spring Early Morning Low-Demand
2019-05-17 18:00:00,0.0434541420118343,phoenix,0.6102592186929536,0.25,3.63,1011.4,0.0,18,4,5,2,-0.8672831915233025,0.4777740066503061,0,0,0,0,0,0,0,0.0452935222672064,0.0572251635004671,0.02651829075311465,3,0.549984082694492,-0.2603560345608028,Spring Afternoon High-Demand
2019-05-17 19:00:00,0.0439310183743382,phoenix,0.6297918948521358,0.22,5.01,1011.0,0.0,19,4,5,2,-0.8569017356870854,0.6132422752783558,0,0,0,0,0,0,0,0.0456146838990968,0.0418677981937091,0.02766739930475845,3,0.8975095510072036,0.4925539792902884,Spring Afternoon High-Demand
2019-05-17 20:00:00,0.044349501712862,phoenix,0.6475903614457832,0.2,5.31,1010.4,0.0,20,4,5,2,-0.8477914785246906,0.7366829873459714,0,0,0,0,0,0,0,0.04547843350981,0.0418872625350358,0.028720309844172683,3,1.2100262211400075,0.6763974319057348,Spring Afternoon High-Demand
2019-05-17 21:00:00,0.044913967611336,phoenix,0.6448521358159913,0.2,8.3,1009.8,0.0,21,4,5,2,-0.8355032246777396,0.7176921085663385,0,0,0,0,0,0,0,0.045225397072563,0.0420819059483027,0.02896286794214028,1,1.1461527427555536,2.152951330956026,Spring Afternoon Windy
2019-05-17 22:00:00,0.0437169106197446,phoenix,0.6673968601679445,0.18,7.44,1009.4,0.0,22,4,5,2,-0.8615627974911013,0.874050343851984,0,0,0,0,0,0,0,0.0439894113983182,0.0425003892868265,0.029176528883860218,1,1.3660895948521836,1.8611992848553551,Spring Afternoon Windy
2019-05-17 23:00:00,0.0416828869511055,phoenix,0.6769806498722162,0.18,6.83,1008.5,0.0,23,4,5,2,-0.9058428846292522,0.9405184195807,0,0,0,0,0,0,0,0.0419359233883525,0.0430940516972905,0.028218507896709523,1,1.2587211796866038,1.6962599373355707,Spring Afternoon Windy
2019-05-18 00:00:00,0.0395807380878231,phoenix,0.6759766338079591,0.18,7.07,1008.8,0.0,0,5,5,2,-0.9516060368868628,0.9335550973615012,0,0,0,0,0,0,0,0.03983377452507,0.0442911086888819,0.026755654096241137,1,1.0066567453839033,1.9599589658510697,Spring Afternoon Windy
2019-05-18 01:00:00,0.0378776082217377,phoenix,0.6684921504198612,0.17,7.05,1008.6,0.0,1,5,5,2,-0.9886826648733528,0.8816466953638367,0,0,0,0,0,0,0,0.0384907349735285,0.0452448614138897,0.02532088377291045,1,0.7869263160264717,2.0843346609009585,Spring Afternoon Windy
2019-05-18 02:00:00,0.0369335876673933,phoenix,0.6593647316538882,0.17,6.24,1008.9,0.0,2,5,5,2,-1.00923371010015,0.8183437660983929,0,0,0,0,0,0,0,0.0373131423232637,0.0468312052320149,0.024352705121326135,1,0.614508818253252,1.7313412926880116,Spring Afternoon Windy
2019-05-18 03:00:00,0.0362134070383058,phoenix,0.647955458196422,0.17,3.1,1009.3,0.0,3,5,5,2,-1.0249118270772946,0.7392151045165882,0,0,0,0,0,0,0,0.0365540330115228,0.0374201962005605,0.023464674750358967,2,0.5201720403140285,0.17970464162119593,Spring Early Morning Low-Demand
2019-05-18 04:00:00,0.035853316723762,phoenix,0.629061701350858,0.17,5.19,1009.7,0.0,4,5,5,2,-1.0327508855658667,0.6081780409371207,0,0,0,0,0,0,0,0.0360090314543755,0.0370114450327001,0.022553948417320894,2,0.2165648981947492,1.2515422632414934,Spring Early Morning Low-Demand
2019-05-18 05:00:00,0.0360576923076923,phoenix,0.6004016064257028,0.17,4.75,1009.9,0.0,5,5,5,2,-1.028301690207488,0.4094068430436272,0,0,0,0,0,0,0,0.0359311740890688,0.0371866241046403,0.021649096385542164,2,-0.04163895246637008,0.9951153325173414,Spring Early Morning Low-Demand
2019-05-18 06:00:00,0.036135549672999,phoenix,0.6000365096750638,0.19,4.13,1010.1,0.0,6,5,5,2,-1.0266067586423913,0.4068747258730088,0,0,0,0,0,0,0,0.0359117097477421,0.0382279663656181,0.021682649100976215,2,-0.10871627681342307,0.6270509805219289,Spring Early Morning Low-Demand
2019-05-18 07:00:00,0.0360187636250389,phoenix,0.580412559328222,0.21,3.5,1010.3,0.0,7,5,5,2,-1.0291491559900363,0.2707734279523053,0,0,0,0,0,0,0,0.0357559950171286,0.0392011834319526,0.020905742779447095,2,-0.3956291231196114,0.2541077788307432,Spring Early Morning Low-Demand
2019-05-18 08:00:00,0.0357462628464652,phoenix,0.5666301569916028,0.23,3.6,1010.4,0.0,8,5,5,2,-1.0350814164678743,0.1751860047614853,0,0,0,0,0,0,0,0.0361452818436624,0.0388410931174089,0.020254910528555672,2,-0.6636803066035131,0.2659763477494049,Spring Early Morning Low-Demand
2019-05-18 09:00:00,0.0357559950171286,phoenix,0.5481014968966776,0.26,3.3,1010.2,0.0,9,5,5,2,-1.0348695500222376,0.0466810583526346,0,0,0,0,0,0,0,0.0368751946434132,0.0378484117097477,0.019597914391918336,2,-0.982286990093083,0.028567014744656137,Spring Early Morning Low-Demand
2019-05-18 10:00:00,0.0356002802865151,phoenix,0.5319459656809055,0.28,3.32,1009.9,0.0,10,5,5,2,-1.038259413152431,-0.0653651264472007,0,0,0,0,0,0,0,0.0374201962005605,0.0371184989099968,0.01893742547552118,0,-1.2591764453472227,-0.009672843257873199,Spring Day Humid
2019-05-18 11:00:00,0.0359019775770787,phoenix,0.5052939028842643,0.36,3.78,1011.0,0.0,11,5,5,2,-1.0316915533376811,-0.2502096799022964,0,0,0,0,0,0,0,0.0368849268140766,0.0365929616941762,0.01814105037118544,0,-1.8850234837313313,-0.006950559887286744,Spring Day Humid
2019-05-18 12:00:00,0.0364275147928994,phoenix,0.5120481927710844,0.31,3.75,1010.8,0.0,12,5,5,2,-1.0202507652732786,-0.2033655122458679,0,0,0,0,0,0,0,0.0369725163500467,0.0366124260355029,0.01865264311684608,0,-1.5249996728572732,0.06682248581835201,Spring Day Humid
2019-05-18 13:00:00,0.0371671597633136,phoenix,0.4997261774370208,0.33,3.46,1011.3,0.0,13,5,5,2,-1.0041489154048602,-0.2888244667542168,0,0,0,0,0,0,0,0.0381209124883214,0.03698224852071,0.01857340267471175,0,-1.6525813011526633,-0.18682941092382796,Spring Day Humid
2019-05-18 14:00:00,0.0386172531921519,phoenix,0.5509309967141293,0.31,3.71,1011.9,0.0,14,5,5,2,-0.9725808150049344,0.0663049664249221,0,0,0,0,0,0,0,0.0386367175334786,0.0377802865151043,0.021275441791514138,0,-0.8793323800773677,-0.0757731408148748,Spring Day Humid
