Model,MAE,RMSE,MAPE,MAPE_numeric
Linear Regression,0.035663133733861575,0.041354253686532554,64.78%,64.7803197368818
XGBoost,0.02720903921138571,0.03339400909824232,47.71%,47.70834441968175
Random Forest,0.022420457894530836,0.029157311453889164,38.75%,38.75466231005771
LSTM,0.038882280857727866,0.04484068861148131,73.89%,73.88701868611902
Time Series,0.07330594563641178,0.0822561863520736,61.99%,61.98556458829758
Naive Forecast,0.011569651978064756,0.01776497188141579,10.00%,9.997515953755624
Stacking,0.021625558431865262,0.028932817711575763,36.56%,36.56318610290177
